listings code,lookup name,index name
SLP,SYLVANIA PLATINUM LIMITED,SYLVANIA PLATINUM LIMITED
SYM,SYMPHONY ENVIRONMENTAL TECHNOLOGIES,SYMPHONY ENVIRONMENTAL TECHNOLOGIES PLC
SIHL,SYMPHONY INTERNATIONAL HOLDING LIMITED,SYMPHONY INTERNATIONAL HOLDINGS LD
SNG,SYNAIRGEN,SYNAIRGEN PLC
SYNC,SYNCONA LIMITED,SYNCONA LIMITED
SNX,SYNECTICS,SYNECTICS PLC
SYNT,SYNTHOMER,SYNTHOMER PLC
SYS,SYSGROUP,SYSGROUP PLC
SYS1,SYSTEM1 GROUP,SYSTEM1 GROUP PLC
TALK,TALKTALK TELECOM GROUP,TALKTALK TELECOM GROUP PLC
TND,TANDEM GROUP,TANDEM GROUP PLC
TAN,TANFIELD GROUP,TANFIELD GROUP PLC
THRL,TARGET HEALTHCARE REIT,TARGET HEALTHCARE REIT PLC
TKO,TASEKO MINES LIMITED,TASEKO MINES LIMITED
TAST,TASTY,TASTY PLC
TGBA,TATA CONSUMER PRODUCTS LIMITED,TATA CONSUMER PRODUCTS LIMITED
TGBL,TATA CONSUMER PRODUCTS LIMITED,TATA CONSUMER PRODUCTS LIMITED
TPCL,TATA POWER COMPANY,TATA POWER COMPANY LIMITED
TTST,TATA STEEL LIMITED,TATA STEEL LIMITED
BD15,TATE AND LYLE,TATE & LYLE PLC
TATE,TATE AND LYLE,TATE & LYLE PLC
TAM,TATTON ASSET MANAGEMENT,TATTON ASSET MANAGEMENT PLC
TAT1,TATUNG CO LIMITED,TATUNG CO. LTD
TAT,TATUNG CO LIMITED,TATUNG CO. LTD
TAVI,TAVISTOCK INVESTMENTS,TAVISTOCK INVESTMENTS PLC
TW.,TAYLOR WIMPEY,TAYLOR WIMPEY PLC
TBCG,TBC BANK GROUP,TBC BANK GROUP PLC
CTO,TCLARKE,TCLARKE PLC
TCSA,TCS GROUP HOLDING,TCS GROUP HOLDING PLC
TCS,TCS GROUP HOLDING,TCS GROUP HOLDING PLC
TM17,TEAM17 GROUP,TEAM17 GROUP PLC
TED,TED BAKER,TED BAKER PLC
TEK,TEKCAPITAL,TEKCAPITAL PLC
TGP,TEKMAR GROUP,TEKMAR GROUP PLC
32QX,TELECOM EGYPT S.A.E.,TELECOM EGYPT S.A.E.
TEEG,TELECOM EGYPT S.A.E.,TELECOM EGYPT S.A.E.
TEP,TELECOM PLUS,TELECOM PLUS PLC
TCM,TELIT COMMUNICATIONS,TELIT COMMUNICATIONS PLC
TMPL,TEMPLE BAR INVESTMENT TRUST,TEMPLE BAR INVESTMENT TRUST PLC
TEM,TEMPLETON EMERGING MARKETS,TEMPLETON EMERGING MARKETS INVESTMENT TRUST PLC
TEG,TEN ENTERTAINMENT GROUP,TEN ENTERTAINMENT GROUP PLC
TENG,TEN LIFESTYLE GROUP,TEN LIFESTYLE GROUP PLC
TERN,TERN,TERN PLC
TYM,TERTIARY MINERALS,TERTIARY MINERALS PLC
TSCO,TESCO,TESCO PLC
TFG,TETRAGON FINANCIAL GROUP LIMITED,TETRAGON FINANCIAL GROUP LIMITED
TFGS,TETRAGON FINANCIAL GROUP LIMITED,TETRAGON FINANCIAL GROUP LIMITED
THAL,THALASSA HOLDING LIMITED,THALASSA HOLDINGS LIMITED
THS,THARISA,THARISA PLC
BARK,THE BARKBY GROUP,THE BARKBY GROUP PLC
55BC,THE COMMERCIAL BANK OF QATAR,THE COMMERCIAL BANK OF QATAR (Q.S.C.)
CBQS,THE COMMERCIAL BANK OF QATAR,THE COMMERCIAL BANK OF QATAR (Q.S.C.)
FUL,THE FULHAM SHORE,THE FULHAM SHORE PLC
GYM,THE GYM GROUP,THE GYM GROUP PLC
TMG,THE MISSION GROUP,THE MISSION GROUP PLC
TPX,THE PANOPLY HOLDING,THE PANOPLY HOLDINGS PLC
PEBB,THE PEBBLE GROUP,THE PEBBLE GROUP PLC
TRIG,THE RENEWABLES INFRASTRUCTURE GROUP LIMITED,THE RENEWABLES INFRASTRUCTURE GROUP LIMITED
MNTN,THE SCHIEHALLION FUND LIMITED,THE SCHIEHALLION FUND LIMITED
SBIZ,THE SIMPLYBIZ GROUP,THE SIMPLYBIZ GROUP PLC
VTC,VITEC GROUP,VITEC GROUP PLC (THE)
WRKS,THEWORKS.COUK,THEWORKS.CO.UK PLC
